name,ring,quadrant,status,description
fastlane,adopt,tools,no change,"<p>Releasing applications for iOS involves a code-signing step. Although supported by Apple's toolchain, the process can be cumbersome, error prone and full of unexpected surprises. We're happy to report that <a href=""https://fastlane.tools/""><strong>fastlane</strong></a>, already our tool of choice for automating the release process of mobile applications, provides a better solution: <a href=""https://docs.fastlane.tools/actions/match"">match</a> is integrated into fastlane's smooth process, and it implements a <a href=""https://codesigning.guide/"">new approach</a> to manage code signing for teams. Instead of storing the signing keys in the developer's macOS keychain — the default approach — the new approach revolves around storing the keys and certificates in a Git repository. This not only makes it easier to on-board new team members and set up new development machines; in our experience, it also is the easiest method to integrate signing into continuous delivery pipelines.</p>"
Airflow,trial,tools,moved out,"<p>In recent years we've seen the rise of generic and domain-specific workflow management tools. The drivers behind this rise include the increased usage of data-processing pipelines and the automation of the machine-learning (ML) model development process. <strong><a href=""https://airflow.apache.org/"">Airflow</a></strong> is one of the early open-source task orchestration tools that popularized the definition of directed acyclic graphs (DAGs) as code, an improvement over an XML/YAML pipeline configuration. Although Airflow remains one of the most widely adopted orchestration tools, we encourage you to evaluate other tools based on your unique situation. For example, you may want to choose <a href=""https://www.thoughtworks.com/radar/tools/prefect"">Prefect</a>, which supports dynamic data-processing tasks as a first-class concern with generic Python functions as tasks; or <a href=""https://argoproj.github.io/"">Argo</a> if you prefer a tight integration with Kubernetes; or <a href=""https://www.thoughtworks.com/radar/tools/kubeflow"">Kubeflow</a> or <a href=""https://www.thoughtworks.com/radar/tools/mlflow"">MLflow</a> for ML-specific workflows. Given the rise of new tools, combined with some of the shortfalls of Airflow (such as lack of native support for dynamic workflows and its centralized approach to scheduling pipelines), we no longer recommend Airflow as the default orchestration tool.</p><br><br><p>We believe that with the increased usage of streaming in analytics and data pipelines, as well as managing data through a <a href=""https://www.thoughtworks.com/radar/techniques/data-mesh"">decentralized data mesh</a>, the need for orchestration tools to define and manage complex data-processing pipelines is reduced.</p>"
Batect,trial,tools,no change,"<p><strong><a href=""https://batect.dev/"">Batect</a></strong> continues to gain traction among our developers and is considered by many to be a default approach for configuring local development and test environments. This open-source tool (which happens to be developed by a Thoughtworker) makes it easy to set up and share a build environment based on <a href=""https://www.thoughtworks.com/radar/techniques/docker-for-builds"">Docker</a>. Batect then becomes the entry point for your build system, replacing the ubiquitous go script as the basis for a “<a href=""https://www.thoughtworks.com/insights/blog/praise-go-script-part-i"">check out and go</a>” approach. Batect continues to evolve in response to developer feedback and recently added support for Docker's BuildKit and shell tab completion.</p>"
Berglas,trial,tools,new,"<p><strong><a href=""https://github.com/GoogleCloudPlatform/berglas"">Berglas</a></strong> is a tool for managing secrets on <a href=""https://www.thoughtworks.com/radar/platforms/google-cloud-platform"">Google Cloud Platform (GCP)</a>. We've recommended <a href=""https://www.thoughtworks.com/radar/techniques/secrets-as-a-service"">secrets as a service</a> as a technique to store and share secrets in modern distributed architectures in the past, and GCP offers <a href=""https://cloud.google.com/secret-manager"">Secret Manager</a> for that purpose, and Berglas works well with Secret Manager. This is especially useful for those GCP services that don't have direct integration with Secret Manager yet; the alternative in such cases would be to write custom code or scripts. Berglas ships as a command-line tool and as a library, and both also come in handy in use cases beyond secrets as a service. The author of Berglas, who also happens to be the original author of <a href=""https://www.thoughtworks.com/radar/tools/hashicorp-vault"">HashiCorp Vault</a>, now works at Google; however, Berglass is not an official Google product.</p>"
Contrast Security,trial,tools,new,"<p><strong><a href=""https://www.contrastsecurity.com/"">Contrast Security</a></strong> offers a security platform with multiple components, including static application security testing (SAST), interactive application security testing (IAST), open-source scanning and runtime application self-protection (RASP). It's been around for a few years now, and we've used it in multiple projects. One of the things we quite like about the Contrast platform is its run-time analysis of libraries; it helps identify libraries that are not used, which in turn helps our teams prioritize vulnerabilities and potentially get rid of unused libraries. This is particularly relevant given the increased importance of <a href=""https://www.thoughtworks.com/radar/techniques/software-bill-of-materials"">securing the software supply chain</a>. We also quite like its IAST component; we've found it effective in our continuous delivery (CD) pipeline with reduced false positives, and it manages to catch a good range of vulnerabilities.</p>"
Dive,trial,tools,new,"<p><a href=""https://github.com/wagoodman/dive""><strong>Dive</strong></a> is a tool for analyzing Docker images; it helps explore each layer in the image and identify what's changed in each layer. Dive estimates <em>image efficiency</em> and <em>wasted space</em> in an image and can be integrated into the continuous integration (CI) pipeline to fail the build based on the efficiency score or amount of wasted space. We've used it in a few projects, and it has proven to be a useful tool — particularly if you're building images with a very low tolerance for additional tools or space consumption.</p>"
Lens,trial,tools,moved in,"<p>Our teams continue to report good results when using <strong><a href=""https://k8slens.dev/"">Lens</a></strong> to visualize and manage their <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a> clusters. Billed as an ""IDE for Kubernetes,"" Lens makes it possible to interact with the cluster without having to memorize commands or manifest file structures. Kubernetes can be complex, and we understand that a tool for visualizing cluster metrics and deployed workloads can save time and reduce some of the toil involved in maintaining a Kubernetes cluster. Instead of hiding complexity behind a simple point-and-click interface, Lens brings together the tools an administrator would run from the command line. But be cautious about interactively making changes to a running cluster via any mechanism. We generally prefer that infrastructure changes be <a href=""https://www.thoughtworks.com/radar/techniques/infrastructure-as-code"">implemented in code</a> so they are repeatable, testable and less prone to human error. However, Lens does excel as a one-stop tool to interactively navigate through and comprehend your cluster status.</p>"
Nx,trial,tools,new,"<p>Over the years we've debated several times whether to feature monorepos in the Radar. Each time we ended up concluding that the trade-offs introduced by monorepos require a nuanced discussion and the technique is ""too complex to blip."" Now we're seeing increased interest in monorepos in the JavaScript community, for example, for building applications composed of micro frontends, as discussed in this <a href=""https://semaphoreci.com/blog/monorepo-micro-frontends-jonathan-creamer"">podcast episode</a>. Whether this is a good idea depends a lot on your situation, and we certainly don't want to give a general recommendation. What we do want to comment on is the tooling. In our teams we see a shift away from <a href=""https://lerna.js.org/"">Lerna</a> and a strong preference to use <a href=""https://nx.dev/""><strong>Nx</strong></a> for managing JavaScript-based monorepos.</p>"
Wav2Vec 2.0,trial,tools,new,"<p><a href=""https://github.com/pytorch/fairseq/tree/main/examples/wav2vec""><strong>Wav2Vec 2.0</strong></a> is a self-supervised learning framework for speech recognition. With this framework the model is trained in two phases. First, it begins in self-supervised mode using unlabeled data and tries to achieve the best possible speech representation. Then it uses supervised fine-tuning, during which labeled data teaches the model to predict particular words or phonemes. We've used Wav2Vec and find its approach quite powerful for building automatic speech recognition models for regional languages with limited availability of labeled data.</p>"
Zap,trial,tools,new,"<p><strong><a href=""https://github.com/uber-go/zap"">Zap</a></strong> is a super performant structured logging library for GoLang which is faster than the standard Log implementation and other logging libraries. Zap has both a ""pretty"" logger, providing a structured and <code>printf</code>-style interface, as well as an (even) faster implementation with just the structured interface. Our teams have used it extensively at scale and are happy to recommend it as their go-to solution.</p>"
Cloud Carbon Footprint,assess,tools,new,"<p>Stakeholders increasingly expect businesses to account for the environmental externalities of their decisions, as evidenced by the rise of environmental, social and corporate governance (ESG) investing and employee activism around climate change. Migrating to the cloud offers the potential for more efficient energy usage — the cloud providers have much more scale to justify investment in green energy sources and R&amp;D — but the downside of software abstractions for cloud users is that those abstractions also hide the energy impact as the actual data centers are hidden from view and financed by another company. <strong><a href=""https://www.cloudcarbonfootprint.org/"">Cloud Carbon Footprint</a></strong>, a new open-source tool, takes advantage of cloud APIs to provide visualizations of estimated carbon emissions based on usage across AWS, GCP and Azure. It uses heuristics like Etsy's <a href=""https://codeascraft.com/2020/04/23/cloud-jewels-estimating-kwh-in-the-cloud/"">Cloud Jewels</a> to estimate energy usage and public data sources to convert energy usage into emissions based on the carbon intensity of the cloud region's underlying energy grid (GCP <a href=""https://cloud.google.com/sustainability/region-carbon"">publishes</a> this data already). The tool's dashboards act as information radiators, allowing decision makers to modify setups to cut costs and emissions at the same time. The linkage of cloud regions to carbon intensity of the underlying grid provides a nudge to switch dirty workloads to regions with greener energy sources.</p>"
Code With Me,assess,tools,new,"<p>JetBrains' collaborative coding tool, <strong><a href=""https://www.jetbrains.com/code-with-me/"">Code With Me</a></strong>, has been increasing in popularity as many teams use various JetBrains tools in this remote-first world. Along with other remote collaboration tools such as VSCode's <a href=""https://www.thoughtworks.com/radar/tools/visual-studio-live-share"">Visual Studio Live Share</a>, Code With Me gives development teams an improved experience with remote pairing and collaboration. Code With Me's abilities to invite teammates into the IDE projects and collaborate in real time are worth exploring. However, we've seen some limitations with regard to refactoring seamlessly and some issues in high-latency environments. We'll continue to watch this tool in this space.</p>"
Comby,assess,tools,new,"<p>This edition of the Radar introduces two tools that search and replace code using an abstract syntax tree (AST) representation. They occupy a similar space as <a href=""https://www.thoughtworks.com/radar/tools/jscodeshift"">jscodeshift</a> but contain parsers for a wide range of programming languages. Although they share some similarities, they also differ in several ways. One of these tools, <strong><a href=""https://comby.dev/"">Comby</a></strong>, is unique in its simple, command-line interface designed in the spirit of Unix tools such as <code>awk</code> and <code>sed</code>. While the Unix commands are based on regular expressions operating matching text, Comby employs a pattern syntax that is specific to programming language constructs and parses the code before searching. This helps developers search large code bases for structural patterns. Like <code>sed</code>, Comby can replace the patterns it matches with new structures. This is useful for automating wholesale changes to large codebases or for making repetitive changes across a suite of microservice repositories. Since these tools are fairly new, we expect to see a range of creative uses that have yet to be discovered.</p>"
Conftest,assess,tools,new,"<p><a href=""https://github.com/open-policy-agent/conftest""><strong>Conftest</strong></a> is a tool for writing tests against structured configuration data. It relies on the <a href=""https://www.openpolicyagent.org/docs/latest/policy-language/#what-is-rego"">Rego language</a> from <a href=""https://www.thoughtworks.com/radar/tools/open-policy-agent-opa"">Open Policy Agent</a> to write tests for <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a> configurations, <a href=""https://www.thoughtworks.com/radar/platforms/tekton"">Tekton</a> pipeline definitions or even <a href=""https://www.thoughtworks.com/radar/tools/terraform"">Terraform</a> plans. Configurations are a critical part of the infrastructure, and we encourage you to assess Conftest to verify assumptions and get quick feedback.</p>"
Cosign,assess,tools,new,"<p><strong><a href=""https://github.com/sigstore/cosign"">Cosign</a></strong> is a container signing and verification tool. Part of Sigstore — a project under the Cloud Native Computing Foundation (CNCF) umbrella aimed at simplifying software signing and transparency — Cosign supports not only Docker and Open Container Initiative (OCI) images but also other artifacts that can be stored in a container registry. We previously talked about <a href=""https://www.thoughtworks.com/radar/tools/docker-notary"">Docker Notary</a>, which also operates in this space; Notary v1, however, has some disadvantages: it's not registry native and needs a separate Notary server. Cosign avoids this problem and stores the signatures in the registry next to an image. It currently has integrations with <a href=""https://github.com/marketplace/actions/install-cosign"">GitHub actions</a> and <a href=""https://github.com/sigstore/helm-charts/tree/main/charts/cosigned"">Kubernetes</a> using a Webhook with further integrations in the pipeline. We've used Cosign in some of our projects and it looks quite promising.</p>"
Crossplane,assess,tools,new,"<p><a href=""https://crossplane.io/""><strong>Crossplane</strong></a> is another entry in the class of tools implemented by the <a href=""https://www.thoughtworks.com/radar/tools/kubernetes-operators"">Kubernetes Operator pattern</a> but with side effects that extend beyond the Kubernetes cluster. In our last Radar we mentioned <a href=""https://www.thoughtworks.com/radar/techniques/kube-managed-cloud-services"">Kube-managed cloud services</a> as a technique, and Crossplane does just that. The idea is to leverage the Kubernetes control plane to provision cloud services on which your deployment is dependent, even if they aren't deployed on the cluster itself. Examples include managed database instances, load balancers or access control policies. This tool is noteworthy for two reasons. First, it demonstrates the powerful and flexible execution environment of the underlying Kubernetes control plane. There is no real limit to the range of supported custom resources. Second, Crossplane provides an alternative to the usual options of <a href=""https://www.thoughtworks.com/radar/tools/terraform"">Terraform</a>, <a href=""https://www.thoughtworks.com/radar/platforms/aws-cloud-development-kit"">CDK</a> or <a href=""https://www.thoughtworks.com/radar/platforms/pulumi"">Pulumi</a>. Crossplane comes with a set of predefined providers for the major cloud services that cover the most commonly provisioned services. It isn't trying to be a general-purpose infrastructure-as-code (IaC) tool but rather a companion to workloads being deployed in Kubernetes. Often associated with the practice of <a href=""https://www.thoughtworks.com/radar/techniques/gitops"">GitOps</a>, Crossplane stands on its own and allows you to stay within the Kubernetes ecosystem when it's necessary to manage external cloud resources. However, Crossplane doesn't help with provisioning Kubernetes itself; you'll need at least one other IaC tool to bootstrap the cluster.</p>"
Micoo,assess,tools,new,"<p><strong><a href=""https://github.com/Mikuu/Micoo"">Micoo</a></strong> is a new entrant into the crowded space of <a href=""https://www.thoughtworks.com/radar/tools/visual-regression-testing-tools"">visual regression tools</a>; it's an open-source solution and is self-contained, providing Docker images to enable an easy and quick environment setup. It also provides different clients for Node.js, Java and Python as well as a Cypress plugin so it can be easily integrated with most of the common frontend UI automation testing frameworks or solutions. Although Micoo doesn't provide all the functionality of some of the SaaS-based or other commercial solutions, our teams have been using it extensively and have had positive experiences. They've especially called out that it works for mobile and desktop apps as well as the web.</p>"
Modern Unix commands,assess,tools,new,"<p>There are many reasons to love Unix, but the one that has profoundly affected our industry is the Unix philosophy of building applications that ""do one thing and do it well."" Unix commands embody this philosophy. A set of small functions that can be piped together to create more complex solutions. In recent years, programmers have contributed to a growing set of <strong>modern Unix commands</strong>. These modern versions attempt to be smaller and faster, often written in <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/rust"">Rust</a>. They include additional features such as syntax highlighting and utilize features of modern terminals. They aim to support programmers natively by integrating nicely with <code>git</code> and recognizing source code files. For example, <code><a href=""https://github.com/sharkdp/bat"">bat</a></code> is a replacement for <code>cat</code> with paging and syntax highlighting; <code><a href=""https://github.com/ogham/exa"">exa</a></code> is a replacement for <code>ls</code> with extended file information and <code><a href=""https://github.com/BurntSushi/ripgrep#quick-examples-comparing-tools"">ripgrep</a></code> is a faster <code>grep</code> replacement that by default ignores gitignore, binary and hidden files. The <a href=""https://github.com/ibraheemdev/modern-Unix"">Modern Unix</a> repository has a reference to some of these commands. We've been enjoying using these Unix commands. You should try them in improving your command-line experience. However, we caution against using them in scripts as replacements for the standard command-line utilities that are shipped in default OS distributions, because they reduce the scripts' portability running on other machines.</p>"
Mozilla SOPS,assess,tools,new,"<p>Plaintext secrets checked into source control (usually Github) are one of the most pervasive security mistakes developers make. For this reason we thought it useful to feature <strong><a href=""https://github.com/mozilla/sops"">Mozilla Sops</a></strong>, a tool for encrypting secrets in text files that our developers find useful in situations where it is impossible to remove secrets from legacy code repositories. We've mentioned many tools of this type before (<a href=""https://www.thoughtworks.com/radar/tools/blackbox"">Blackbox</a>, <a href=""https://github.com/AGWA/git-crypt"">git-crypt</a>), but Sops has several features that set it apart. For example, Sops integrates with cloud-managed keystores such as AWS and GCP Key Management Service (KMS) or Azure Key Vault as sources of encryption keys. It also works cross-platform and supports PGP keys. This enables fine-grained access control to secrets on a file-by-file basis. Sops leaves the identifying key in plain text so that secrets can still be located and diffed by git. We're always supportive of anything that makes it easier for developers to be secure; however, remember that you don't have to keep secrets in source control to begin with. See <a href=""https://www.thoughtworks.com/radar/techniques/decoupling-secret-management-from-source-code"">Decoupling secret management from source code</a> in our November 2017 issue.</p>"
Operator Framework,assess,tools,no change,"<p>We continue to see the adoption of Kubernetes in new and novel scenarios. For example, we see Kubernetes is being extended to <a href=""https://www.thoughtworks.com/radar/techniques/operator-pattern-for-nonclustered-resources"">manage resources running outside of its cluster</a> or <a href=""https://www.thoughtworks.com/radar/tools/crossplane"">across multiple infrastructure providers</a>, or it is used in managing stateful applications beyond Kubernetes's original scope. These extensions are possible using the <a href=""https://kubernetes.io/docs/concepts/extend-kubernetes/operator/"">Kubernetes Operator</a> pattern: building Kubernetes controllers that have the domain-specific knowledge of the custom resource they manage. For example, an operator that manages a stateful application can use the Kubernetes primitives to automate an application's specific tasks beyond its deployment, such as restore, backup and upgrade its database.</p><br><br><p><strong><a href=""https://operatorframework.io/"">Operator Framework</a></strong> is a set of open-source tools that simplifies building and managing the lifecycle of <a href=""https://kubernetes.io/docs/concepts/extend-kubernetes/operator/"">Kubernetes operators</a>. Although there are <a href=""https://github.com/cncf/tag-app-delivery/blob/eece8f7307f2970f46f100f51932db106db46968/operator-wg/whitepaper/Operator-WhitePaper_v1-0.md#operator-frameworks-for-kubernetes"">multiple frameworks</a> to help you build Kubernetes operators, Operator Framework remains a good choice. It supports rich operator lifecycle management using its <a href=""https://github.com/operator-framework/operator-lifecycle-manager/"">Operator Lifecycle Manager</a> module; it supports multiple languages to build the operator code itself using its <a href=""https://sdk.operatorframework.io/"">Operator SDK</a>; and it provides a <a href=""https://operatorhub.io/"">catalog</a> for publishing and sharing the operators. If you're planning to build Kubernetes operators, we recommend giving the Operator Framework a try to accelerate your development reliably.</p>"
Pactflow,assess,tools,new,"<p>For organizations with larger and more complex API ecosystems, especially those who are already using <a href=""https://github.com/pact-foundation"">Pact</a>, we think it's worth assessing whether <strong><a href=""https://pactflow.io/"">Pactflow</a></strong> could be useful. Pactflow manages the workflow and continuous deployment of tests written in Pact, lowering the barrier to <a href=""https://www.thoughtworks.com/radar/techniques/consumer-driven-contract-testing"">consumer-driven contract testing</a>. The complexity of coordination between multiple producers and various disparate consumers can become prohibitive. We've seen some teams invest significant effort in hand-crafting solutions to this problem and think it's worth assessing whether Pactflow can look after this for you.</p>"
Prefect,assess,tools,new,"<p><a href=""https://github.com/prefecthq/prefect""><strong>Prefect</strong></a> is a data workflow management tool that makes it easy to add semantics such as retries, dynamic mapping, caching and failure notifications to data pipelines. You can mark Python functions as tasks and chain them together through function calls to build the data flow. The Python API combined with a collection of predefined tasks for common data operations makes Prefect a noteworthy option to assess for your data pipeline needs.</p>"
Proxyman,assess,tools,new,"<p>It may not be a tool that you need everyday, but when you're in the weeds trying to diagnose a nasty network problem, it's very useful to be able to reach for a feature-rich HTTP debugging proxy. <strong><a href=""https://proxyman.io/"">Proxyman</a></strong> is just such a tool. Quite a few of our teams have been using it for a while now as a macOS-specific drop-in replacement for <a href=""https://www.charlesproxy.com/"">Charles</a> and really like its streamlined interface and cert management.</p>"
Regula,assess,tools,new,"<p>One of the key tenets of infrastructure as code (IaC) is automated testing. If we have a solid test pyramid with good code-level coverage at the bottom, we can produce a better and more secure infrastructure. Unfortunately, tools to assist in this space have been sparse. <a href=""https://www.thoughtworks.com/radar/tools/conftest"">Conftest</a> is frequently used to test Terraform JSON and HCL code, but it is a general-purpose tool. <strong><a href=""https://regula.dev/"">Regula</a></strong> is an attractive alternative. Similar to Conftest, Regula checks for compliance of infrastructure code by applying rules written in Open Policy Agent's Rego language, but it also provides a set of primitives specifically for validating infrastructure configurations. Because both tools are based on the Rego language, Regula rules can be run by Conftest. However, Regula comes with its own command-line tool for running tests as part of a pipeline with no dependence on Conftest or OPA. Our developers have found that Regula saves time and produces much more readable, maintainable and succinct test code. Still, both tools only validate the infrastructure code. A complete suite should also test the infrastructure to ensure the code is being accurately interpreted.</p>"
Sourcegraph,assess,tools,new,"<p>Another abstract syntax tree–based code search tool that received our attention is <strong><a href=""https://about.sourcegraph.com/"">Sourcegraph</a></strong>. In contrast to <a href=""https://www.thoughtworks.com/radar/tools/comby"">Comby</a>, which is open source, Sourcegraph is a commercial tool (with a 10-user free tier). Sourcegraph is particularly suited for searching, navigating or cross-referencing in large codebases. The cloud-hosted version can be accessed through Sourcegraph's website and is designed to search publicly available open-source repositories. Whereas Comby is a lightweight command-line tool for automating repetitive tasks, Sourcegraph's emphasis is on interactive developer tools for understanding and navigating large code bases. Unlike Comby's <code>sed</code>-like interface, Sourcegraph's automated code rewriting capability is driven from a UI, allowing users to review changes before they're made. Because Sourcegraph is a hosted service, it also has the ability to continuously monitor code bases and send alerts when a match occurs.</p>"
Telepresence,assess,tools,new,"<p><a href=""https://www.telepresence.io/""><strong>Telepresence</strong></a> is a tool that helps shorten the feedback loop of changes that usually require a deployment for proper testing. Developers can use it to plug a process that is running on their local machines into a remote Kubernetes cluster. This gives the local process access to the remote cluster's services and features, and the local service can also temporarily replace one of the cluster services.</p><br><br><p>In situations where the service integration setup has become somewhat unwieldy, Telepresence can boost developer productivity and enable more effective local testing. However, if you get into the habit of using a clever tool like this, you may have bigger problems. For example, if you use Telepresence because it has become impossible to set up all necessary dependencies for local development, you may want to investigate the complexity of your setup and architecture. If it becomes the only way for you to do service integration tests, consider looking into <a href=""https://www.thoughtworks.com/radar/techniques/consumer-driven-contract-testing"">consumer-driven contract testing</a> or other automated ways of integration testing.</p>"
Vite,assess,tools,new,"<p>Fast feedback is crucial for a good developer experience. Nothing breaks the flow of development more than having to wait a minute or two before getting feedback on the last code changes. Unfortunately, with applications growing in size and complexity, the popular build tools for front-end pipelines are often not fast enough anymore. Previously, we featured <a href=""https://www.thoughtworks.com/radar/tools/esbuild"">esbuild</a>, which offers a significant performance improvement, because it's implemented in a compile-to-native language rather than JavaScript. <strong><a href=""https://vitejs.dev/"">Vite</a></strong>, which is built on top of esbuild, delivers <a href=""https://vitejs.dev/guide/why.html"">significant improvements</a> over other tools. It consists of two major parts: a dev server that provides rich feature enhancements over native ES modules, such as extremely fast Hot Module Replacement (HMR), and a build command that bundles your code with Rollup. Vite relies on ES modules, and unlike most older tools, it doesn't provide shimming or polyfills, which means it's not compatible with older browsers that don't support ES modules. In cases where older browsers had to be supported, some of our teams used Vite during development and other tools for production builds.</p>"
cert-manager,assess,tools,new,"<p><strong><a href=""https://cert-manager.io/"">cert-manager</a></strong> is a tool to manage your X.509 certificates within your <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a> cluster. It models certificates and issuers as first-class resource types and provides certificates as a service securely to developers and applications working within the Kubernetes cluster. With built-in support for <a href=""https://www.thoughtworks.com/radar/tools/let-s-encrypt"">Let's Encrypt</a>, <a href=""https://www.thoughtworks.com/radar/tools/hashicorp-vault"">HashiCorp Vault</a> and Venafi, cert-manager is an interesting tool to assess for certificate management.</p>"
gopass,assess,tools,moved out,"<p><strong><a href=""https://www.gopass.pw/"">gopass</a></strong> is a password manager for teams, built on GPG and Git. It's a descendant of <a href=""http://www.passwordstore.org/"">pass</a> and adds several features, including interactive search and multiple password stores in a single tree. Since we first mentioned gopass, our teams have used it on several projects, sometimes stretching it beyond its limits. A sorely missed feature was the ability to deprecate secrets. Discoverability was already an issue, but not being able to mark secrets as no longer in use compounded this problem. The biggest issue, though, was scale. When you have teams with 50+ people using the same repository for several years, we found that the repository could grow to multiple gigabytes in size. Re-encrypting the secrets when onboarding new members could take more than half an hour. The underlying issue seems to be that in our teams everything changes all the time: people come and go, secrets are rotated, the architecture evolves, new secrets are added, old ones are no longer needed. gopass seems to work well, even for large numbers of users, when there's less change.</p>"
mob,assess,tools,new,"<p>Sometimes you come across a tool that you didn't realize you needed until you do; <strong><a href=""https://github.com/remotemobprogramming/mob"">mob</a></strong> is just such a tool. Living as we do in a world where remote pair programming has become the norm for many teams, having a tool that allows for seamless handover either between pairs or a wider group as part of a <a href=""https://www.thoughtworks.com/radar/techniques/remote-mob-programming"">mob programming</a> session is super useful. mob hides all the version control paraphernalia behind a command-line interface that makes participating in mob programming sessions simpler. It also provides specific advice around how to participate remotely, for example, to ""steal the screenshare"" in Zoom rather than ending a screenshare, ensuring the video layout doesn't change for participants. A useful tool and thoughtful advice, what's not to like?</p>"
Jetpack Compose,adopt,languages-and-frameworks,new,"<p>In a move that mirrors Apple's introduction of <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/swiftui"">SwiftUI</a>, Google introduced <a href=""https://developer.android.com/jetpack/compose""><strong>Jetpack Compose</strong></a> as a new and quite different approach to building user interfaces for modern Android applications. Compose brings more powerful tools and an intuitive Kotlin API. In most cases less code is needed, and it has become easier to create user interfaces at runtime rather than defining a static UI that can be filled with data. With <a href=""https://blog.jetbrains.com/kotlin/2021/08/compose-multiplatform-goes-alpha"">Compose Multiplatform</a> and <a href=""https://kotlinlang.org/docs/multiplatform.html"">Kotlin Multiplatform</a> developers now have a unified toolkit to build desktop, web and native Android apps. Wear OS 3.0+ is included, too, and with support for iOS already present in <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/kotlin-multiplatform-mobile"">Kotlin Multiplatform Mobile</a>, it's likely that iOS will be supported by Compose in the future.</p>"
React Hooks,adopt,languages-and-frameworks,no change,"<p><strong><a href=""https://reactjs.org/docs/hooks-intro.html"">React Hooks</a></strong> have introduced a new approach to managing stateful logic; given React components have always been closer to functions than classes, Hooks have embraced this and brought state to the functions, instead of using classes to take function to the state with methods. Another staple of state management in React applications is <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/redux"">Redux</a>, and we've already noted that it has come under scrutiny, suggesting that sometimes the complexity of Redux isn't worth it and in such cases a simple approach using Hooks is preferable. Rolling this completely on your own can quickly become tricky; therefore we recommend considering a combination of <a href=""https://reactjs.org/docs/context.html"">React Context</a> and the useContext and useReducer hooks, along the lines explained in this <a href=""https://blog.logrocket.com/guide-to-react-usereducer-hook/"">blog post</a>.</p>"
Arium,trial,languages-and-frameworks,new,"<p><a href=""https://github.com/thoughtworks/Arium""><strong>Arium</strong></a> is an automated testing framework for 3D applications written in Unity. Functional tests are an important part of a healthy test pyramid. Arium, which is built as a wrapper on the <a href=""https://docs.unity3d.com/Packages/com.unity.test-framework@1.1/manual/index.html"">Unity Test framework</a>, lets you write functional tests for 3D apps on multiple platforms. We've used it successfully in a few of our projects.</p>"
Chakra UI,trial,languages-and-frameworks,new,"<p><a href=""https://chakra-ui.com/""><strong>Chakra UI</strong></a> is a UI component library for <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/react-js"">React.js</a> that is designed for accessibility. We like it, especially for its accessibility features, including dark mode and compatibility with the Web Accessibility Initiative – Accessible Rich Internet Applications (WAI-ARIA) guidelines. Moreover, it is easy to test and customize which makes for a good development experience, accelerating the development process of UI solutions in production environments.</p>"
DoWhy,trial,languages-and-frameworks,new,"<p><strong><a href=""https://github.com/Microsoft/dowhy"">DoWhy</a></strong> is a Python library to perform end-to-end causal inference and analysis. Although machine-learning models can make predictions based on factual data, exploiting the correlation of variables that were present at the time, they're insufficient in scenarios where we need to ask <em>What if</em> and <em>Why</em> questions: <em>What if a variable changed? What would be the impact on the outcome?</em> Causal inference is an approach to answer such questions. It estimates the causal effect, that is, the magnitude by which an outcome would change, if we changed one of the causal variables. This approach is applied when we can't arrive at the answer through observations and collecting data from A/B testing — due to the cost of experiments or limitations. The DoWhy library estimates the causal effect based on a process that uses the past collected facts and data as well as assumptions one can make knowing the domain. It uses a four-step process of modeling the causal relationships graph based on assumptions, identifying a cause for an outcome, estimating the causal effect and finally challenging those assumptions by refuting the result. We've used this library successfully in production, and it's one of the commonly used libraries in causal estimation use cases.</p>"
Gatsby.js,trial,languages-and-frameworks,moved in,"<p>Although several frameworks promise the same ease of development and scalability typical of static site generators, we continue to have good experiences with <a href=""https://www.gatsbyjs.org/""><strong>Gatsby.js</strong></a>. In particular we've used it to build and deploy websites that scale to very large numbers of users without having to worry about capacity planning or deployment infrastructure. Our developers have also been impressed by the focus on accessibility and support for old browsers and that they could reuse their <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/react-js"">React.js</a> experience. All in all, we feel Gatsby has matured well and is a solid choice in this space.</p>"
Jetpack Hilt,trial,languages-and-frameworks,new,"<p><a href=""https://developer.android.com/jetpack/androidx/releases/hilt""><strong>Jetpack Hilt</strong></a> has recently reached version 1.0, and we can report that we've had good experiences with it. Jetpack Hilt offers extensions for integrating Hilt with various other AndroidX libraries, such as WorkManager and Navigation. It further expands the reach of Hilt, to provide developers with a standard way of incorporating <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/dagger"">Dagger</a> dependency injection into Android applications. We've featured <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/koin"">Koin</a> as a Kotlin-native dependency injection framework in the Radar before, and we would advise against attempting to replace Koin in a large existing codebase. However, when starting a new project, Hilt, it seems, is now the way to go.</p>"
